"4","1","41","1",,,"15021376512",,"121.450051","31.257324",,"0","ECS000004","美甲小铺指甲油","+","303","0",,"21","0.000","300.00","8.00","8.00","1409731200","1451462400","1","美甲 指甲油 8元体验","8元体验单涂指甲油一次，限20人","<p>地址：中潭路99弄247号中远两湾城3期</p>
<p>电话：15021376512</p>
<p>QQ：2928452562<br />
<br />
8元体验单涂指甲油一次，限20人</p>
<div>&nbsp;</div>
<p>&nbsp;</p>","images/201410/thumb_img/4_thumb_G_1413224296586.jpg","images/201410/goods_img/4_G_1413224296337.jpg","images/201410/source_img/4_G_1413224296067.jpg","1",,"0","1","0","0","1409769194","100","0","1","1","1","1","0","1413309662","0",,"-1","-1","0",NULL,,"6",,"0","0"
"13","1","0","1",,,"021-56379266",,"121.449397","31.287193",,"0","ECS000013","Listen现场音乐酒吧鸡尾酒体验券","+","132","0",,"1001","0.000","99.00","8.00","8.00","1411286400","1442822400","1",,"8元领取指定鸡尾酒一杯","<p>地址：闸北区万荣路700号C6</p>
<div>电话：021-56379266, 13020194518</div>
<div>&nbsp;</div>
<div>8元领取指定鸡尾酒一杯</div>","images/201409/thumb_img/13_thumb_G_1411348233033.jpg","images/201409/goods_img/13_G_1411348233663.jpg","images/201409/source_img/13_G_1411348233865.jpg","1",,"0","1","0","0","1411348114","100","0","0","0","0","1","0","1415048084","0",,"-1","-1","0",NULL,,"2",,"0","0"
"5","1","41","1",,,"13818096692",,"121.448708","31.258906",,"0","ECS000005","莲瑜伽课程","+","255","0",,"1003","0.000","999.00","8.00","8.00","1409731200","1451462400","1",,"8元试听瑜伽课程一次","<p>地址：中潭路91弄29号305室</p>
<p>电话：021-32180910<br />
微信&amp;手机：13818096692<br />
<br />
8元试听瑜伽课程一次</p>
<p>&nbsp;</p>","images/201410/thumb_img/5_thumb_G_1413224235954.jpg","images/201410/goods_img/5_G_1413224235118.jpg","images/201410/source_img/5_G_1413224235104.jpg","1",,"1","1","0","0","1409769725","100","0","1","1","1","1","0","1413224235","0",,"-1","-1","0",NULL,,"6",,"0","0"
"6","1","41","0",,,"52950206",,"121.450778","31.258258",,"0","ECS000006","瑾SPA眼部拔筋","+","211","0",,"1000","0.000","999.00","8.00","8.00","1409731200","1451462400","1",,"8元体验一次眼部拔筋","<p>地址：中潭路100弄142号</p>
<p>电话：52950206<br />
时间：12:30~21:30<br />
周一休息<br />
<br />
8元体验一次眼部拔筋</p>
<p>&nbsp;</p>","images/201410/thumb_img/6_thumb_G_1413224116557.jpg","images/201410/goods_img/6_G_1413224116835.jpg","images/201410/source_img/6_G_1413224116245.jpg","1",,"1","1","0","0","1409770149","100","0","1","1","1","1","0","1413224116","0",,"-1","-1","0",NULL,,"6",,"0","0"
"7","1","41","1",,,"021-62045998",,"121.45105","31.260164",,"0","ECS000007","悦spa V8纤体瘦身套餐","+","427","0",,"1001","0.000","9.60","8.00","8.00","1409731200","1451462400","1",,"8元体验V8纤体瘦身一次","<p>地址：普陀区中潭路100弄62号(近昌化路)</p>
<p>电话：021-62045998<br />
<br />
8元体验V8纤体瘦身一次</p>
<p>&nbsp;</p>","images/201410/thumb_img/7_thumb_G_1413224034121.jpg","images/201410/goods_img/7_G_1413224034761.jpg","images/201410/source_img/7_G_1413224034687.jpg","1",,"1","1","0","0","1409770914","100","0","1","1","1","1","0","1413224034","0",,"-1","-1","0",NULL,,"12",,"0","0"
"8","1","41","1",,,"021-56379266",,"121.449397","31.287193",,"0","ECS000008","Listen现场音乐酒吧爆米花体验券","+","583","0",,"999","0.000","25.00","8.00","80.00","1409731200","1451462400","1",,"8元领取爆米花一份","<p>地址：闸北区万荣路700号C6</p>
<div>
<p>电话：021-56379266, 13020194518<br />
<br />
8元领取爆米花一份</p>
</div>
<p>&nbsp;</p>","images/201409/thumb_img/8_thumb_G_1411348029717.jpg","images/201409/goods_img/8_G_1411348029952.jpg","images/201409/source_img/8_G_1411348029817.jpg","1",,"0","1","0","0","1409772085","100","0","0","0","0","1","0","1415048088","0",,"-1","-1","0",NULL,,"19",,"0","0"
"9","4","0","10000",,"9月30日 15:00",,"1号线马戏城站3号口","121","31",,"0","ECS000009","19朵红玫瑰生日高档礼盒","+","2020","0",,"1218","0.000","0.01","0.01","0.00","0","0","1",,"1分钱领取19朵玫瑰礼包，仅用来测试，不兑现，请慎拍！","<p>下单时候仔细看清楚长条礼盒有2种礼盒,普通长方形礼盒和高端手提礼盒的。</p>
<p>高端手提礼盒+玫瑰+手提袋(roseonly 野兽派 同款的 最求高品质的请选择)</p>
<p>普通长方形礼盒+玫瑰（性价比高的一款 ）</p>
<p>仅供测试使用，拍下不发货不退款</p>
<p>&nbsp;</p>
<p><span style=""color: rgb(255, 0, 0);"">有效期：一直到测试结束</span></p>
<p><span style=""color: rgb(255, 0, 0);"">使用时间：妹子生日时</span></p>
<p><span style=""color: rgb(255, 0, 0);"">&nbsp;</span></p>
<ul>
    <li><span style=""color: rgb(0, 0, 255);"">每人仅限拍1000份</span></li>
    <li><span style=""color: rgb(0, 0, 255);"">无需预约即可领取</span></li>
    <li><span style=""color: rgb(0, 0, 255);"">本单建议男性表白时候用</span></li>
    <li><span style=""color: rgb(0, 0, 255);"">仅限穷逼购买，高富帅勿扰</span></li>
</ul>","images/201410/thumb_img/9_thumb_G_1413222058696.jpg","images/201410/goods_img/9_G_1413222058585.jpg","images/201410/source_img/9_G_1413222058981.jpg","1",,"0","1","0","0","1409778528","100","0","0","0","0","0","0","1416272374","0",,"-1","-1","0",NULL,,"305","<p>&nbsp;<img src=""/images/upload/Image/T2z3s9XpFXXXXXXXXX_!!1872032669.jpg"" width=""750"" height=""750"" alt="""" /></p>
<p><img src=""/images/upload/Image/T211E6XwFXXXXXXXXX_!!1872032669.jpg"" width=""750"" height=""434"" alt="""" /></p>","0","0"
"25","4","0","0",,"周一至周六 16:00-21:00","021-31131136","广中路805号上海大学科技园区","0","0","1斤","0","ECS000025","南美空运进口车厘子 全城最低价50元限购1斤","+","33","0",,"0","0.000","60.00","50.00","0.00","0","0","1",,,"<p>车厘子的含铁量特别高，位于各种水果之首。常食樱桃可补充体内对铁元素的需求，促进血红蛋白再生。</p>
<p>南美空运进口车厘子，全城最低价<span style=""color: rgb(255, 0, 0);""><span style=""font-size: x-large;"">50元/斤</span></span></p>
<p>&nbsp;</p>
<p><span style=""color: rgb(0, 0, 255);"">购买须知：</span></p>
<ul>
    <li><font color=""#0000ff"">1份起售，每份1斤</font></li>
    <li><span style=""color: rgb(0, 0, 255);"">无需预约凭订单号即可领取</span></li>
    <li><span style=""color: rgb(0, 0, 255);"">本商品参与 &ldquo;有些人特惠满100减10活动&rdquo;</span></li>
    <li><span style=""color: rgb(0, 0, 255);"">数量有限，欲购从速</span></li>
</ul>
<p>&nbsp;</p>","images/201410/thumb_img/25_thumb_G_1413167330382.jpg","images/201410/goods_img/25_G_1413167330812.jpg","images/201410/source_img/25_G_1413167330734.jpg","1",,"0","1","0","0","1412578010","920","0","0","0","0","0","0","1420329563","0",,"-1","-1","0",NULL,,"100","<p>&nbsp;<img src=""/images/upload/Image/QQ截图20141006224623.jpg"" width=""777"" height=""564"" alt="""" /></p>
<p><img src=""/images/upload/Image/QQ截图20141006224631.jpg"" width=""783"" height=""573"" alt="""" /></p>","0","0"
"14","1","0","1",,,"021-66079581",,"121.449397","31.287193",,"0","ECS000014","拾味江河咂咂鱼一例","+","290","0",,"1004","0.000","50.00","8.00","8.00","1411286400","1445414400","1",,"8元体验特色东滩野生咂咂鱼一例","<p>地址：闸北区万荣路700号C6</p>
<div>电话：021-66079581</div>
<div>&nbsp;</div>
<div>8元体验特色东滩野生咂咂鱼一例</div>","images/201410/thumb_img/14_thumb_G_1413223969589.jpg","images/201410/goods_img/14_G_1413223969465.jpg","images/201410/source_img/14_G_1413223969857.jpg","1",,"1","1","0","0","1411350432","100","0","1","1","1","1","0","1413223969","0",,"-1","-1","0",NULL,,"7",,"0","0"
"15","1","0","1",,,"4006500750",,"121.448829","31.288914",,"0","ECS000015","Ibaby国际尖端婴童摄影","+","209","0",,"1002","0.000","2888.00","8.00","8.00","1411286400","1445414400","1",,"8元体验专业造型拍摄","<p>地址：闸北区万荣路700号C2栋</p>
<div>电话：4006500750</div>
<div>&nbsp;</div>
<div>8元体验专业造型拍摄（内容包括：3组造型拍摄+4寸相册一本+入册12张+24寸海报一张+人像卡两张），限周一至周五</div>","images/201410/thumb_img/15_thumb_G_1413223915506.jpg","images/201410/goods_img/15_G_1413223915829.jpg","images/201410/source_img/15_G_1413223915974.jpg","1",,"1","1","0","0","1411350767","100","0","1","1","1","1","0","1413223915","0",,"-1","-1","0",NULL,,"2",,"0","0"
